,pos_hu
0,képes 
1,bőség 
2,bőséges 
3,elismert 
4,"megvalósítani, végrahajt "
5,megvalósult 
6,megvalósít 
7,megvalósítás 
8,teljesítmény 
9,eredmények 
10,elér 
11,elért 
12,megfelelően 
13,haladás 
14,fejlődés 
15,előrelépések 
16,továbbjutó 
17,előny 
18,előnyös 
19,előnyösen 
20,előnyök 
21,szövetség 
22,szövetségek 
23,biztosít 
24,biztosított 
25,megvalósítások 
26,vonzó 
27,vonzerő 
28,szép 
29,szépen 
30,haszon 
31,részesült 
32,hasznos 
33,hasznosító 
34,legjobb 
35,jobb 
36,megerősített 
37,megerősítés 
38,bolsterek 
39,bumm 
40,virágzó 
41,lendület 
42,áttörés 
43,áttörések 
44,ragyogó 
45,jótékony 
46,együttműködik 
47,együttműködő 
48,együttműködés 
49,együttműködők 
50,bók 
51,ingyenes 
52,megelégedett 
53,örvendezés 
54,meggyőző 
55,törvényesen 
56,elősegítő 
57,magabiztos 
58,konstruktív 
59,konstruktívan 
60,udvarias 
61,kreatív 
62,kreatívan 
63,kreativitás 
64,élvezet 
65,örömteli 
66,kellemes 
67,kellemesen 
68,örömök 
69,megbízhatóság 
70,megbízható 
71,kívánatos 
72,annak ellenére 
73,szánt 
74,szorgalmas 
75,szorgalmasan 
76,megkülönböztetés 
77,megkülönböztetések 
78,megkülönböztető 
79,megkülönböztető képesség 
80,álom 
81,könnyebb 
82,könnyen 
83,hatékony 
84,hatékonyság 
85,hatékonyan 
86,felhatalmaz 
87,felhatalmazott 
88,felhatalmazás 
89,engedélyezze 
90,engedélyezett 
91,lehetővé teszi 
92,engedélyező 
93,bátorított 
94,bátorítás 
95,bátorítja 
96,bátorító 
97,javít 
98,fokozott 
99,fokozás 
100,javítások 
101,javul 
102,javító 
103,élvezd 
104,élvezetes 
105,élvezetesen 
106,élvezi 
107,lelkesedés 
108,lelkes 
109,lelkesen 
110,kiválóság 
111,kiváló 
112,kiabálás 
113,kitűnő 
114,kivételes 
115,kivételesen 
116,izgatott 
117,izgalom 
118,izgalmas 
119,kizárólagos 
120,kizárólagosan 
121,kizárólagosság 
122,példamutató 
123,fantasztikus 
124,kedvező 
125,kedvezően 
126,kedvelt 
127,előadás 
128,kedvenc 
129,kedvencek 
130,barátságos 
131,nyereség 
132,nyert 
133,szerencse 
134,jó 
135,nagy 
136,nagyobb 
137,legnagyobb 
138,nagymértékben 
139,nagyság 
140,legboldogabb 
141,boldogan 
142,boldogság 
143,boldog 
144,legmagasabb 
145,becsület 
146,tiszteletreméltó 
147,megbecsült 
148,tisztelet 
149,kitüntetés 
150,ideál 
151,lenyűgöz 
152,lenyűgözött 
153,benyomás 
154,hatásos 
155,lenyűgözően 
156,javított 
157,javulás 
158,javuló 
159,hihetetlen 
160,hihetetlenül 
161,befolyásos 
162,tájékoztató 
163,találékonyság 
164,innováció 
165,innovatív 
166,innovates 
167,innovációk 
168,újító 
169,innovátorok 
170,betekintő 
171,ihlet 
172,inspiráló 
173,sértetlenség 
174,feltalál 
175,feltalált 
176,feltaláló 
177,találmány 
178,találmányok 
179,találékony 
180,feltalálók 
181,vezetés 
182,vezető 
183,hűséges 
184,jövedelmező 
185,érdemes 
186,lehetőségek 
187,lehetőség 
188,optimista 
189,felülmúl 
190,felülmúlta 
191,felülmúlva 
192,felülmúlja 
193,tökéletes 
194,tökéletesített 
195,tökéletesen 
196,tökéletesít 
197,elégedett 
198,öröm 
199,népszerű 
200,népszerűség 
201,pozitív 
202,pozitívan 
203,preeminencia 
204,kimagasló 
205,első 
206,bemutató 
207,presztízs 
208,tekintélyes 
209,proaktív 
210,proaktívan 
211,jártasság 
212,jártas 
213,szakszerűtlen 
214,jövedelmezőség 
215,jövedelmezően 
216,előrehalad 
217,előrehaladt 
218,virágzott 
219,virágzás 
220,jólét 
221,előadók 
222,visszapattan 
223,visszapattant 
224,rebounding 
225,fogékony 
226,visszanyer 
227,visszanyert 
228,visszanyerés 
229,elhatározás 
230,forradalmosít 
231,forradalmasított 
232,forradalmosítja 
233,forradalmasító 
234,jutalom 
235,jutalmazott 
236,jutalmazó 
237,jutalmak 
238,elégedettség 
239,kielégítően 
240,kielégítő 
241,eleget tesz 
242,kielégít 
243,sima 
244,simítás 
245,simán 
246,megold 
247,megoldás 
248,látványos 
249,látványosan 
250,stabilitás 
251,stabilizáció 
252,stabilizál 
253,stabilizált 
254,stabilizálás 
255,stabil 
256,erő 
257,megerősít 
258,erősítés 
259,erősségek 
260,erős 
261,erősebb 
262,legerősebb 
263,sikerül 
264,sikerült 
265,sikeres 
266,siker 
267,sikeresen 
268,meghaladta 
269,felülmúló 
270,átláthatóság 
271,hatalmas 
272,borzasztóan 
273,páratlan 
274,példátlan 
275,felhajtás 
276,értékes 
277,sokoldalú 
278,sokoldalúság 
279,vibrálás 
280,élénk 
281,győzelem 
282,győztes 
283,nyertesek 
284,nyerő 
285,méltó 
